FWD,FWD,MID,MID,MID,DEF,DEF,GK,Projected,SalaryEdinson Cavani,Ayoub El Kaabi,Isco,David Silva,Bernardo Silva,Achraf Hakimi,Mehdi Benatia,David de Gea,140.2,60000
Edinson Cavani,Diego Costa,Matias Vecino,Joao Mario,Andres Iniesta,Mehdi Benatia,Ahmed Hegazi,David de Gea,127.6,59500
Sardar Azmoun,Diego Costa,Bernardo Silva,Matias Vecino,Andres Iniesta,Jordi Alba,Mehdi Benatia,David de Gea,127.5,58500
Sardar Azmoun,Diego Costa,Bernardo Silva,Ricardo Quaresma,Andres Iniesta,Mehdi Benatia,Jose Maria Gimenez,David de Gea,127.4,59500
Diego Costa,Ayoub El Kaabi,Isco,Matias Vecino,Andres Iniesta,Ahmed Hegazi,Pepe,David de Gea,127.3,56500
Edinson Cavani,Diego Costa,Matias Vecino,Joao Mario,Andres Iniesta,Mehdi Benatia,Gerard Pique,David de Gea,127.2,59000
Edinson Cavani,Ayoub El Kaabi,Ricardo Quaresma,Matias Vecino,Andres Iniesta,Ahmed Hegazi,Pepe,David de Gea,127.1,59000
Sardar Azmoun,Diego Costa,Hakim Ziyech,Matias Vecino,Andres Iniesta,Jordi Alba,Gerard Pique,David de Gea,127.0,60000
Diego Costa,Ayoub El Kaabi,David Silva,Matias Vecino,Andres Iniesta,Jordi Alba,Gerard Pique,David de Gea,126.9,58500
Sardar Azmoun,Ayoub El Kaabi,Hakim Ziyech,Matias Vecino,Andres Iniesta,Jordi Alba,Ahmed Hegazi,David de Gea,126.8,57000
Edinson Cavani,Sardar Azmoun,Matias Vecino,Rodrigo Bentancur,Andres Iniesta,Ahmed Hegazi,Gerard Pique,David de Gea,126.7,59000
Diego Costa,Ayoub El Kaabi,Hakim Ziyech,Matias Vecino,Andres Iniesta,Jordi Alba,Ahmed Hegazi,David de Gea,126.6,57500
Diego Costa,Karim Ansarifard,Isco,David Silva,Joao Mario,Mehdi Benatia,Gerard Pique,David de Gea,126.5,56500
Sardar Azmoun,Diego Costa,David Silva,Rodrigo Bentancur,Joao Mario,Gerard Pique,Raphael Guerreiro,David de Gea,126.4,59500
Sardar Azmoun,Diego Costa,Ricardo Quaresma,Matias Vecino,Andres Iniesta,Jordi Alba,Mehdi Benatia,David de Gea,126.3,59000
Edinson Cavani,Ayoub El Kaabi,David Silva,Rodrigo Bentancur,Sergio Busquets,Martin Caceres,Mohamed Abdul Shafy,David de Gea,126.2,58000
Edinson Cavani,Ayoub El Kaabi,Isco,Rodrigo Bentancur,Younes Belhanda,Jordi Alba,Ahmed Hegazi,David de Gea,126.1,59000
Diego Costa,Ayoub El Kaabi,Ricardo Quaresma,Matias Vecino,Andres Iniesta,Sergio Ramos,Mehdi Benatia,David de Gea,126.0,56500
Sardar Azmoun,Diego Costa,Ricardo Quaresma,Matias Vecino,Sergio Busquets,Jordi Alba,Pepe,David de Gea,125.9,60000
Sardar Azmoun,Diego Costa,Matias Vecino,Joao Mario,Sergio Busquets,Jordi Alba,Mehdi Benatia,David de Gea,125.8,57000
Sardar Azmoun,Diego Costa,Ricardo Quaresma,Matias Vecino,Moubarak Boussoufa,Achraf Hakimi,Sergio Ramos,David de Gea,125.7,57500
Diego Costa,Mehdi Taremi,Isco,Hakim Ziyech,Moubarak Boussoufa,Achraf Hakimi,Ahmed Hegazi,David de Gea,125.6,56500
Sardar Azmoun,Diego Costa,Isco,Matias Vecino,Trezeguet,Jordi Alba,Mohamed Abdul Shafy,David de Gea,125.5,59000
Sardar Azmoun,Diego Costa,Isco,Joao Mario,Trezeguet,Achraf Hakimi,Mohamed Abdul Shafy,David de Gea,125.4,59500
Sardar Azmoun,Diego Costa,Matias Vecino,Joao Mario,Andres Iniesta,Jordi Alba,Mehdi Benatia,David de Gea,125.3,58000
Sardar Azmoun,Diego Costa,Ricardo Quaresma,Matias Vecino,Moubarak Boussoufa,Achraf Hakimi,Jordi Alba,David de Gea,125.2,57000
Sardar Azmoun,Diego Costa,Matias Vecino,Joao Mario,Mohamed Elneny,Jordi Alba,Mehdi Benatia,David de Gea,125.1,56000
Cristiano Ronaldo,Sardar Azmoun,Ricardo Quaresma,Matias Vecino,Joao Mario,Mehdi Benatia,Milad Mohammadi,David de Gea,125.0,60000
Sardar Azmoun,Diego Costa,Matias Vecino,Joao Mario,Andres Iniesta,Jordi Alba,Martin Caceres,David de Gea,124.9,59500
Sardar Azmoun,Diego Costa,David Silva,Ricardo Quaresma,Matias Vecino,Martin Caceres,Milad Mohammadi,David de Gea,124.8,60000
Sardar Azmoun,Ayoub El Kaabi,Matias Vecino,Joao Mario,Andres Iniesta,Jordi Alba,Mehdi Benatia,David de Gea,124.7,54500
Sardar Azmoun,Ayoub El Kaabi,David Silva,Ricardo Quaresma,Matias Vecino,Mehdi Benatia,Milad Mohammadi,David de Gea,124.6,55000
